area,action,sourceEvidence,targetPath,result
UI_bg,preserve_bg1005_binding_and_raycast,UI127/UI128 BG1005 candidate plus UI136 guardrail correction,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_bg__-3280973633984018659,UI_bg_raycast_preserved=True
Hero1005,preserve_main_skeletongraphic_only,UI124/UI135 source-backed Hero1005 main layer; Painting_1005_back not promoted,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/UI_heroSpine__-2739654541028205496/Restore_Hero1005_SpineRoot_UI144/Painting_1005,mounted_main_only
UI_MainInterface_old_root_canvas,apply_source_serialized_root_canvas_sorting,UI143 native Canvas component row: UI_MainInterface_old=0,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118,apiSortingOrder=0; serializedSortingOrder=0; overrideSorting=False
UI_Dock_root_canvas,apply_source_serialized_root_canvas_sorting,UI143 native Canvas component row: UI_Dock=100,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144,apiSortingOrder=0; serializedSortingOrder=100; overrideSorting=False
UI_Dock.initTab.MAIN_PAGE,apply_source_lua_default_on_off_state,UI_Dock.lua initTab MAIN_PAGE default; UI136 follow-up hierarchy toggle*/im_on/im_off correction,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle1__7591293892622252672/im_on__-5891749526711796232|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle1__7591293892622252672/im_off__-8260082556590129835,selected=True; animationState=applied_A
UI_Dock.initTab.CAMP,apply_source_lua_default_on_off_state,UI_Dock.lua initTab MAIN_PAGE default; UI136 follow-up hierarchy toggle*/im_on/im_off correction,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle2__7950299754146285530/im_on__4968733986243935381|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle2__7950299754146285530/im_off__5193622481985759590,selected=False; animationState=applied_B
UI_Dock.initTab.BAG,apply_source_lua_default_on_off_state,UI_Dock.lua initTab MAIN_PAGE default; UI136 follow-up hierarchy toggle*/im_on/im_off correction,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle3__-6972970831923998147/im_on__-4554973158640049960|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle3__-6972970831923998147/im_off__518680114936329312,selected=False; animationState=applied_B
UI_Dock.initTab.EXPEDITION,apply_source_lua_default_on_off_state,UI_Dock.lua initTab MAIN_PAGE default; UI136 follow-up hierarchy toggle*/im_on/im_off correction,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle4__-6804366038503861017/im_on__-1222559236234254205|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle4__-6804366038503861017/im_off__7609373578294030332,selected=False; animationState=applied_B
UI_Dock.initTab.ADVENTURE,apply_source_lua_default_on_off_state,UI_Dock.lua initTab MAIN_PAGE default; UI136 follow-up hierarchy toggle*/im_on/im_off correction,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle5__3989089819604024096/im_on__-5215337679687611488|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle5__3989089819604024096/im_off__-4795627789347214698,selected=False; animationState=applied_B
UI_Dock.initTab.GUILD,apply_source_lua_default_on_off_state,UI_Dock.lua initTab MAIN_PAGE default; UI136 follow-up hierarchy toggle*/im_on/im_off correction,Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle6__4819124037445857078/im_on__-3542802835436383425|Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI144/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/toggle6__4819124037445857078/im_off__4975218722388425263,selected=False; animationState=applied_B
