comName,assetName,role,sourcePath,exportPath,status,bytes,sourceKind,pathId,textAssetName,surrogateByteCount,nonLatinCodepointCount
sp_mainpage,SP_Dock_1,skeleton,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_1\SP_Dock_1.skel.bytes,raw_textasset_exported,5767,str_surrogateescape_utf8,-5297893166830738493,SP_Dock_1.skel,1512,36
sp_mainpage,SP_Dock_1,atlas,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\textassets\4575077192156806730_SP_Dock_1.atlas.txt,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_1\SP_Dock_1.atlas.txt,copied,361,extracted_bundle_file_copy,,,,
sp_mainpage,SP_Dock_1,texture,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\images\T\-402587200781072471_SP_Dock_1.png,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_1\SP_Dock_1.png,copied,25487,extracted_bundle_file_copy,,,,
sp_camp,SP_Dock_2,skeleton,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_2\SP_Dock_2.skel.bytes,raw_textasset_exported,4385,str_surrogateescape_utf8,-965620130649004890,SP_Dock_2.skel,1139,27
sp_camp,SP_Dock_2,atlas,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\textassets\-7577882141466136738_SP_Dock_2.atlas.txt,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_2\SP_Dock_2.atlas.txt,copied,134,extracted_bundle_file_copy,,,,
sp_camp,SP_Dock_2,texture,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\images\T\-8829062302552757208_SP_Dock_2.png,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_2\SP_Dock_2.png,copied,22457,extracted_bundle_file_copy,,,,
sp_bag,SP_Dock_3,skeleton,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_3\SP_Dock_3.skel.bytes,raw_textasset_exported,7975,str_surrogateescape_utf8,-9015391737978558464,SP_Dock_3.skel,2245,94
sp_bag,SP_Dock_3,atlas,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\textassets\-744257193174325057_SP_Dock_3.atlas.txt,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_3\SP_Dock_3.atlas.txt,copied,137,extracted_bundle_file_copy,,,,
sp_bag,SP_Dock_3,texture,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\images\T\-5575814075661461733_SP_Dock_3.png,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_3\SP_Dock_3.png,copied,16523,extracted_bundle_file_copy,,,,
sp_expedition,SP_Dock_4,skeleton,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_4\SP_Dock_4.skel.bytes,raw_textasset_exported,4953,str_surrogateescape_utf8,8879130499741459148,SP_Dock_4.skel,1252,32
sp_expedition,SP_Dock_4,atlas,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\textassets\7730467358930827345_SP_Dock_4.atlas.txt,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_4\SP_Dock_4.atlas.txt,copied,200,extracted_bundle_file_copy,,,,
sp_expedition,SP_Dock_4,texture,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\images\T\6758749610672273623_SP_Dock_4.png,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_4\SP_Dock_4.png,copied,24297,extracted_bundle_file_copy,,,,
sp_adventureInterface,SP_Dock_5,skeleton,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_5\SP_Dock_5.skel.bytes,raw_textasset_exported,625,str_surrogateescape_utf8,-1063526957802718890,SP_Dock_5.skel,147,8
sp_adventureInterface,SP_Dock_5,atlas,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\textassets\-5360108064235675155_SP_Dock_5.atlas.txt,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_5\SP_Dock_5.atlas.txt,copied,150,extracted_bundle_file_copy,,,,
sp_adventureInterface,SP_Dock_5,texture,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\images\T\8188935393299346357_SP_Dock_5.png,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_5\SP_Dock_5.png,copied,11447,extracted_bundle_file_copy,,,,
sp_guild,SP_Dock_6,skeleton,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_6\SP_Dock_6.skel.bytes,raw_textasset_exported,8638,str_surrogateescape_utf8,228557136316383007,SP_Dock_6.skel,2404,88
sp_guild,SP_Dock_6,atlas,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_629f86ef6a4def50\textassets\1417681296484973874_SP_Dock_6.atlas.txt,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreData\uidock_spine_source_raw\SP_Dock_6\SP_Dock_6.atlas.txt,copied,282,extracted_bundle_file_copy,,,,
