label,sourceType,path,includedAsRelevant,width,height,aspect,referenceAspect,aspectDeltaVsReference,aspectDeltaPctVsReference,aspectCorrectHeightAtThisWidth,heightMinusAspectCorrectHeight,finding
attached_reference_image,reference_image,C:\Users\godho\.codex\attachments\e607fc34-b674-4516-b051-8d396cd6df06\image-1.png,True,1180,526,2.243346,2.243346,0.0,0.0,526.0,0.0,reference_anchor
reference_mp4_0s_home_layout_class,reference_video,C:\Users\godho\Downloads\참고.mp4,True,1280,570,2.245614,2.243346,0.002268,0.101,570.58,-0.58,candidate_is_wider_than_reference
route_spine_runtime_ui_material_bound_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_route_spine_runtime_ui_material_bound_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
restored_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_restored_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
ui124_hero1005_spine_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui124_hero1005_spine_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
ui126_oldroot_hero1005_candidate_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui126_oldroot_hero1005_candidate_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
ui127_oldroot_bg1005_runtime_candidate_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui127_oldroot_bg1005_runtime_candidate_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui128_oldroot_runtime_activity_text_tmp_click_candidate_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
ui135_hero1005_homepara_backfront_candidate_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui135_hero1005_homepara_backfront_candidate_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
ui136_uidock_openstack_candidate_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui136_uidock_openstack_candidate_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
ui144_uidock_renderer_rootcanvas_candidate_1680x720,candidate_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_ui144_uidock_renderer_rootcanvas_candidate_1680x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
restored_1280x720,historical_capture,C:\Users\godho\Downloads\girlswar\girlswar_maininterface_unity\Assets\RestoreCaptures\maininterface_restored_1280x720.png,True,1680,720,2.333333,2.243346,0.089987,4.011,748.88,-28.88,candidate_is_wider_than_reference
