section,fieldPath,sourceClassification,alreadyStaticallyKnown,staticallyInferableFromSerializedSource,requiresRuntimeSnapshot,forbiddenToGuess,staticValueOrEvidence,staticPatchAllowedNow,exhaustionDecision
formRuntime,forms.UI_Dock.formName,already_statically_known,True,True,False,False,UI_Dock,False,static_identity_only_no_patch
formRuntime,forms.UI_Dock.formId,already_statically_known,True,True,False,False,248,False,static_identity_only_no_patch
formRuntime,forms.UI_Dock.sourcePrefabPath,already_statically_known,True,True,False,False,UIPrefabAndRes/MainInterface/Prefabs/UI_Dock,False,static_identity_only_no_patch
formRuntime,forms.UI_Dock.disableUILayer,already_statically_known,True,True,False,False,True,False,static_identity_only_no_patch
formRuntime,forms.UI_Dock.activeSelf,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.activeInHierarchy,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.parentTransformFullPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.siblingIndex,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.localPosition,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.anchoredPosition,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.sizeDelta,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.localScale,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiGroup.groupId,static_partial_known_but_runtime_effective_value_required,False,True,True,True,1 static only,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_Dock.uiGroup.groupObjectPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiGroup.layerObjectPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiGroup.baseOrder,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiGroup.sortingCursorBeforeOpen,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiGroup.sortingCursorAfterOpen,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.rootCanvas.sortingLayerID,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.rootCanvas.sortingOrder,static_partial_known_but_runtime_effective_value_required,False,True,True,True,UI_Dock source=100; UI_MainInterface source=0,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_Dock.rootCanvas.overrideSorting,static_partial_known_but_runtime_effective_value_required,False,True,True,True,false source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_Dock.rootCanvas.renderMode,static_partial_known_but_runtime_effective_value_required,False,True,True,True,ScreenSpaceCamera source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_Dock.rootCanvas.worldCameraFullPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.rootCanvas.planeDistance,static_partial_known_but_runtime_effective_value_required,False,True,True,True,100 source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_Dock.rootCanvas.targetDisplay,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiFormBase.depth,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiFormBase.groupId,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.uiFormBase.currCanvasSortingOrder,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_Dock.canvasGroup.alpha,static_partial_known_but_runtime_effective_value_required,False,True,True,True,1 source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_Dock.canvasGroup.interactable,static_partial_known_but_runtime_effective_value_required,False,True,True,True,true source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_Dock.canvasGroup.blocksRaycasts,static_partial_known_but_runtime_effective_value_required,False,True,True,True,true source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.formName,already_statically_known,True,True,False,False,UI_MainPage,False,static_identity_only_no_patch
formRuntime,forms.UI_MainPage.formId,already_statically_known,True,True,False,False,249,False,static_identity_only_no_patch
formRuntime,forms.UI_MainPage.sourcePrefabPath,already_statically_known,True,True,False,False,UIPrefabAndRes/MainInterface/Prefabs/UI_MainInterface,False,static_identity_only_no_patch
formRuntime,forms.UI_MainPage.disableUILayer,already_statically_known,True,True,False,False,True,False,static_identity_only_no_patch
formRuntime,forms.UI_MainPage.activeSelf,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.activeInHierarchy,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.parentTransformFullPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.siblingIndex,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.localPosition,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.anchoredPosition,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.sizeDelta,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.localScale,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiGroup.groupId,static_partial_known_but_runtime_effective_value_required,False,True,True,True,1 static only,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.uiGroup.groupObjectPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiGroup.layerObjectPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiGroup.baseOrder,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiGroup.sortingCursorBeforeOpen,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiGroup.sortingCursorAfterOpen,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.rootCanvas.sortingLayerID,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.rootCanvas.sortingOrder,static_partial_known_but_runtime_effective_value_required,False,True,True,True,UI_Dock source=100; UI_MainInterface source=0,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.rootCanvas.overrideSorting,static_partial_known_but_runtime_effective_value_required,False,True,True,True,false source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.rootCanvas.renderMode,static_partial_known_but_runtime_effective_value_required,False,True,True,True,ScreenSpaceCamera source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.rootCanvas.worldCameraFullPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.rootCanvas.planeDistance,static_partial_known_but_runtime_effective_value_required,False,True,True,True,100 source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.rootCanvas.targetDisplay,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiFormBase.depth,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiFormBase.groupId,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.uiFormBase.currCanvasSortingOrder,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
formRuntime,forms.UI_MainPage.canvasGroup.alpha,static_partial_known_but_runtime_effective_value_required,False,True,True,True,1 source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.canvasGroup.interactable,static_partial_known_but_runtime_effective_value_required,False,True,True,True,true source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
formRuntime,forms.UI_MainPage.canvasGroup.blocksRaycasts,static_partial_known_but_runtime_effective_value_required,False,True,True,True,true source,False,partial_static_evidence_exhausted_but_runtime_effective_value_required
canvasHelper,forms.UI_Dock.canvasHelpers[1].hierarchyPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
canvasHelper,forms.UI_Dock.canvasHelpers[1].m_Depth,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
canvasHelper,forms.UI_Dock.canvasHelpers[1].effectiveCanvasSortingOrder,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
canvasHelper,forms.UI_Dock.canvasHelpers[2].hierarchyPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
canvasHelper,forms.UI_Dock.canvasHelpers[2].m_Depth,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
canvasHelper,forms.UI_Dock.canvasHelpers[2].effectiveCanvasSortingOrder,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
canvasHelper,forms.UI_Dock.canvasHelpers[3].hierarchyPath,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
canvasHelper,forms.UI_Dock.canvasHelpers[3].m_Depth,requires_runtime_snapshot,False,False,True,True,,False,runtime_only_no_static_value
