time,motion_all,motion_top,motion_center,motion_bottom_hud,motion_right_rail,bright_ratio,dark_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.003823,0.014955
0.51,0.02116,0.011434,0.033634,0.009044,0.012212,0.008138,0.013105
1.01,0.061426,0.040427,0.082709,0.043182,0.056643,0.030506,0.009682
1.52,0.042049,0.020721,0.059845,0.032993,0.023963,0.039946,0.009422
2.02,0.379939,0.341708,0.364743,0.401943,0.538921,0.001516,0.30718
2.53,0.065589,0.021739,0.082219,0.077841,0.074435,0.000967,0.281836
3.04,0.220094,0.21174,0.178611,0.323404,0.275439,0.000763,0.05585
3.54,0.192934,0.225539,0.187374,0.153155,0.258226,0.002753,0.03231
4.05,0.055533,0.036743,0.079947,0.030859,0.054392,0.017122,0.028209
4.55,0.065198,0.03182,0.096136,0.042344,0.044486,0.038504,0.009831
5.06,0.043594,0.018455,0.0638,0.037346,0.011725,0.041769,0.009515
5.57,0.030961,0.015008,0.048161,0.017724,0.010887,0.045991,0.009617
6.07,0.211993,0.208114,0.195198,0.244114,0.259335,0.006092,0.006129
6.58,0.09718,0.098295,0.090364,0.107926,0.122926,0.005673,0.000298
7.08,0.012274,0.001829,0.012842,0.024278,0.002123,0.004213,0.000223
7.59,0.012498,0.002793,0.01415,0.021853,0.001463,0.003748,0.000177
8.09,0.306343,0.309918,0.280793,0.344992,0.390458,0.04614,0.010835
8.6,0.525876,0.570106,0.518767,0.50489,0.659563,0.000307,0.894122
9.11,0.488116,0.596397,0.524244,0.372925,0.483657,0.000372,0.003134
9.61,0.230227,0.25703,0.241026,0.178654,0.136935,0.004315,0.003134
10.12,0.341102,0.197239,0.32434,0.475685,0.462869,0.408175,2.8e-05
10.62,0.293572,0.139204,0.333194,0.390641,0.268912,0.088718,4.7e-05
11.13,0.266065,0.191167,0.326705,0.259098,0.161602,0.430311,0.00066
11.64,0.475241,0.829733,0.445976,0.272601,0.370372,0.037277,0.141499
12.14,0.313402,0.143268,0.354659,0.40316,0.22396,0.005478,0.695387
12.65,0.348008,0.32261,0.284969,0.473689,0.515168,0.003358,0.017792
13.15,0.20295,0.28225,0.170185,0.210744,0.198568,0.007933,0.012528
13.66,0.055747,0.036541,0.077307,0.036822,0.045652,0.02167,0.011607
14.17,0.048509,0.026301,0.061628,0.04814,0.036423,0.037398,0.010649
14.67,0.371931,0.429719,0.422922,0.257466,0.243007,0.476004,0.000326
15.18,0.051969,0.015336,0.091303,0.020034,0.010816,0.411923,0.00173
15.68,0.022231,0.005705,0.037552,0.010246,0.008906,0.382301,0.003051
16.19,0.069779,0.013134,0.105192,0.058217,0.042857,0.247935,1.9e-05
16.7,0.171472,0.185124,0.168901,0.19688,0.094978,0.136933,0.00014
